"F_LEAN_TIP","TEVEKENYSEG","F_OKA","MEDIAN","TEV_DB","KEZELT_DB","BAZIS","SULY"
"IL","Flotta számviteli bizonylat","Normál",0.916666666666667,13,5,4.46666666666667,0.205223880597015
"IL","Flotta számviteli bizonylat","Ébredés",0.683333333333333,3,2,4.46666666666667,0.152985074626866
"IL","Flotta ügyintézés","Gyerektev. Zárult",0.316666666666667,45,34,4.46666666666667,0.0708955223880597
"IL","Flotta ügyintézés","KIVKEZ",1.625,6,2,4.46666666666667,0.363805970149254
"IL","Flotta ügyintézés","Kapcsolódó",4.25,153,106,4.46666666666667,0.951492537313433
"IL","Flotta ügyintézés","Kritikus",3.93333333333333,7,6,4.46666666666667,0.880597014925373
"IL","Flotta ügyintézés","Normál",5.19166666666667,2542,1854,4.46666666666667,1.16231343283582
"IL","Flotta ügyintézés","Reponálás",5.56666666666667,12,11,4.46666666666667,1.24626865671642
"IL","Flotta ügyintézés","Szakmai guru",5.68333333333333,2,1,4.46666666666667,1.27238805970149
"IL","Flotta ügyintézés","Ébredés",1.38333333333333,705,356,4.46666666666667,0.309701492537313
"IL","Flotta ügyintézés","Egyéb",2.41666666666667,526,524,4.46666666666667,0.541044776119403
"IL","Folyamatellenõrzés ajánlat nem élet","Kritikus",1.26666666666667,242,240,4.46666666666667,0.283582089552239
"IL","Folyamatellenõrzés ajánlat nem élet","Normál",1.33333333333333,175,175,4.46666666666667,0.298507462686567
"IL","Folyamatellenõrzés ajánlat nem élet","Egyéb",1.00833333333333,14,14,4.46666666666667,0.225746268656716
"IL","Folyamatellenõrzés ajánlat élet","Kritikus",2.24166666666667,86,86,4.46666666666667,0.501865671641791
"IL","Folyamatellenõrzés ajánlat élet","Normál",2.45833333333333,28,28,4.46666666666667,0.550373134328358
"IL","Folyamatellenõrzés ajánlat élet","Egyéb",0.133333333333333,57,55,4.46666666666667,0.0298507462686567
"IL","Folyamatellenõrzés logisztika","Egyéb",0.458333333333333,2,2,4.46666666666667,0.102611940298507
"IL","Folyamatellenõrzés partner","Normál",4.7,41,40,4.46666666666667,1.05223880597015
"IL","Folyamatellenõrzés pénzügy","Kritikus",0.9,351,351,4.46666666666667,0.201492537313433
"IL","Folyamatellenõrzés pénzügy","Normál",0.483333333333333,1,1,4.46666666666667,0.108208955223881
"IL","Folyamatellenõrzés specialista","Kritikus",2.31666666666667,1232,1228,4.46666666666667,0.51865671641791
"IL","Folyamatellenõrzés specialista","Normál",1.81666666666667,1192,1191,4.46666666666667,0.406716417910448
"IL","Folyamatellenõrzés specialista","Egyéb",7.15,23,16,4.46666666666667,1.60074626865672
"IL","FuFi foglaló","Gyerektev. Zárult",6.89166666666667,2,2,4.46666666666667,1.54291044776119
